7,11,19,34,36,37,38,39,42,47,57,60,62,69,72,73,75,76,77,78
2,4,10,16,18,27,37,38,39,40,43,46,47,49,50,56,60,62,71,75
4,5,7,9,10,11,13,17,25,30,32,54,55,57,60,64,70,72,74,76
7,10,12,15,20,34,37,43,45,48,51,54,57,58,59,61,62,73,76,80
3,18,20,22,25,30,37,40,43,45,50,51,61,65,67,72,74,75,76,78
2,4,5,12,17,19,24,31,35,36,38,41,42,44,53,56,60,70,76,80
4,11,13,14,16,17,19,20,25,28,29,30,34,35,41,65,70,74,76,77
3,6,12,13,15,21,25,28,32,34,42,45,46,54,55,60,63,65,70,78
1,2,3,5,6,12,15,17,21,22,26,29,30,33,43,49,51,58,59,61
2,4,6,9,10,12,13,14,18,23,35,39,45,52,59,60,67,68,70,74
1,6,7,9,12,18,19,20,23,24,34,41,52,53,59,62,67,69,72,80
2,8,11,13,15,17,18,20,25,26,29,30,37,45,50,51,52,60,63,75
6,9,12,15,16,23,25,26,28,33,34,37,41,42,44,52,53,54,61,78
7,8,13,14,19,26,28,29,31,35,45,51,53,54,59,61,62,63,77,80
6,13,17,18,19,20,23,25,33,50,55,56,58,59,61,62,67,68,73,80
2,7,9,17,24,27,28,29,30,33,35,41,48,49,51,59,68,69,77,79
10,12,13,14,21,22,23,25,27,28,29,33,34,44,48,55,60,70,77,80
1,6,10,12,19,20,22,23,25,32,34,39,43,50,53,57,58,62,66,67
3,6,9,10,12,17,19,20,28,32,33,36,38,40,42,48,49,51,53,63
1,10,17,19,21,24,27,29,30,31,43,50,53,64,67,69,71,73,76,80
2,14,15,17,22,23,27,37,42,45,49,53,55,61,62,66,67,71,76,77
1,5,8,20,22,23,25,29,34,35,36,45,47,51,52,53,54,58,67,77
3,10,11,13,14,15,18,19,30,34,42,44,47,50,52,59,61,64,67,73
3,4,5,7,11,13,22,27,31,44,46,47,59,63,66,67,69,76,78,79
1,15,19,29,30,33,35,37,38,44,45,47,50,57,59,61,68,74,75,76
6,9,10,15,19,20,30,43,46,47,48,50,52,55,58,60,72,73,77,78
1,5,14,15,18,27,29,31,32,43,44,47,49,60,71,72,73,77,78,80
9,11,15,16,18,19,26,27,29,43,47,48,50,51,52,57,64,67,71,74
1,5,9,16,19,27,28,31,36,37,49,51,53,57,60,62,64,65,69,77
1,2,3,6,8,10,29,30,36,39,43,44,46,50,53,54,55,61,62,75
7,9,16,18,19,22,24,39,42,45,47,52,56,59,62,63,64,72,73,76
2,3,12,14,19,27,34,35,36,47,48,51,52,54,55,59,63,64,66,76
3,5,14,16,21,25,27,33,34,36,42,51,52,58,62,71,74,75,79,80
2,5,6,7,15,16,21,24,32,35,41,47,52,57,61,70,71,72,73,79
5,12,20,22,28,33,36,37,49,50,52,53,59,61,63,66,69,70,74,75
1,2,4,10,22,23,24,33,35,39,47,50,54,56,62,67,74,77,78,79
1,4,7,9,15,21,24,25,30,35,44,49,50,52,54,57,65,69,78,80
3,6,7,10,13,15,23,28,35,45,48,52,54,57,67,68,75,76,78,79
8,11,12,19,21,27,30,32,38,40,43,44,47,50,51,52,53,60,66,76
8,11,13,15,23,26,27,34,39,42,45,49,65,68,71,72,73,74,75,77
6,7,12,13,23,30,33,36,39,44,45,46,48,56,59,62,67,72,78,79
7,12,17,18,20,24,26,37,38,44,45,48,50,51,57,62,63,64,65,78
6,7,15,17,22,23,27,30,38,40,46,47,50,53,55,61,70,71,72,80
